temp1,temp2,intensity,warm,temp3,gas,outcome
29,873,3089,30.32,1920,4944,0
16,876,3643,33.08,5408,4960,0
29,874,3341,30.95,1712,4928,0
29,872,3294,30.78,1632,4944,0
16,876,3007,33.13,5328,4928,0
29,875,2730,31.42,0,4944,0
29,875,3248,31.25,2528,4928,0
29,875,2713,30.78,1232,4512,0
16,876,3099,32.71,4928,4944,0
29,875,3465,30.91,1856,4928,0
29,872,3517,31.04,320,4896,0
17,877,3458,32.67,4688,4960,0
29,877,2864,30.69,0,4944,0
29,875,2828,30.79,1888,4944,0
29,875,3629,31.62,640,4928,0
23,877,2935,32.88,4944,4944,0
29,879,2731,31.5,0,4944,0
29,875,3128,31.14,1696,4944,0
29,875,3140,31.11,720,4960,0
29,876,3130,32.82,4160,4960,0
29,876,3182,31.29,0,4944,0
29,876,2981,30.61,2272,4960,0
29,874,3068,30.17,960,4960,0
17,876,2863,32.39,4752,4944,0
29,876,2636,30.41,0,4928,0
29,875,3210,30.48,1952,4960,0
29,875,3026,30.74,1344,4976,0
29,873,3328,30.4,0,4944,0
29,875,2966,30.22,2032,4928,0
29,875,3315,30.16,1296,4960,0
17,876,3266,32.53,4816,4944,0
29,874,3042,30.61,0,4928,0
29,877,2951,30.78,2240,4928,0
29,876,3225,30.99,944,4928,0
23,876,0,33.06,4496,4928,0
29,875,3353,31.79,0,4944,0
29,875,3155,31.3,3184,4960,0
29,874,3470,31.41,1264,4960,0
29,877,2987,33.29,4464,4944,0
29,876,2901,31.99,0,4928,0
29,876,3025,31.71,1824,4944,0
29,876,2887,31.57,752,4944,0
16,877,2871,33.13,5664,4944,0
29,876,3585,31.48,2432,4944,0
29,874,2802,31.34,1440,4928,0
17,876,3083,33.21,3520,4928,0
17,874,3564,33.45,624,4944,0
29,873,3188,30.98,0,4944,0
29,876,3019,30.86,3392,4960,0
29,876,3240,31.26,1520,4960,0
16,876,2844,32.73,4160,4944,0
16,874,3373,32.61,880,4960,0
16,877,2788,32.13,6048,4944,0
28,874,2906,30.8,1376,4960,0
29,873,3236,31.01,192,4928,0
16,876,2799,32.53,5200,4960,0
29,874,2854,31.12,1824,4960,0
29,874,3201,31.25,1584,4976,0
16,876,3205,32.88,5936,4928,0
29,875,3163,31.31,1536,4944,0
29,874,3341,31.46,1232,4944,0
16,877,3111,32.95,5136,4944,0
29,864,2927,31.32,0,4928,0
29,873,3368,31.33,2032,4944,0
29,874,3522,31.23,1600,4944,0
29,877,2739,31.51,0,4944,0
29,875,3153,31.36,3184,4944,0
29,876,3073,30.95,1184,4960,0
16,876,3507,32.26,5600,4928,0
29,875,3510,31.34,1232,4944,0
29,875,3146,31.33,848,4928,0
16,877,2949,32.53,6016,4960,0
29,874,2707,30.54,1824,4960,0
29,874,3529,31.04,608,4944,0
17,876,3033,32.36,3568,4928,0
17,876,3064,32.58,432,4944,0
16,876,3344,32.33,5184,4848,0
29,875,2732,30.81,1312,4944,0
29,873,3483,31.48,1088,4928,0
28,878,3437,33.21,4432,4944,0
29,862,2908,32.08,0,4944,0
29,876,3344,31.98,2208,4928,0
29,875,3103,31.53,704,4944,0
16,877,3363,32.86,5328,4896,0
29,874,3488,31.29,1856,4928,0
29,875,3166,31.42,944,4928,0
16,875,3312,32.42,3632,4912,0
19,878,3034,32.58,5552,4912,0
29,875,2677,30.82,0,4944,0
29,874,3220,30.79,1504,4928,0
29,874,3109,30.7,3552,4944,0
14,846,6037,52.33,2336,4912,0
16,876,3435,33.33,4352,4928,0
17,876,3542,33.49,784,4912,0
17,876,3384,32.91,5392,4944,0
29,864,2930,32.35,0,4928,0
29,876,3692,32.1,2496,4960,0
29,876,3521,31.84,1504,4928,0
17,877,3415,33.04,5232,4928,0
29,853,2965,32.65,0,4944,0
29,874,3608,32.03,2272,4928,0
29,874,3622,31.7,1136,4944,0
17,876,3203,32.73,3776,4912,0
29,878,3085,32.98,5056,4928,0
29,873,3329,31.2,0,4928,0
29,874,3353,31.14,2704,4944,0
18,876,3014,32.85,4736,4928,0
29,876,2675,30.94,0,4928,0
29,876,3043,30.78,2896,4960,0
29,874,3153,30.85,784,4944,0
16,876,2867,32.61,4112,4944,0
16,874,2886,32.71,1168,4944,0
16,875,2868,32.58,5072,4944,0
29,876,2882,31.15,2016,4960,0
29,875,2987,31.12,496,4944,0
17,877,3088,33.13,5184,4944,0
